시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
서울특별시 강남구 개포동,집합,1**,개포로82길,일반상업,제1종근린생활,12m미만,124.12, ,"37,000",4,201512,1, ,1984
서울특별시 강남구 개포동,집합,1**,개포로,제3종일반주거,판매,25m이상,11.29, ,"25,000",1,201512,2, ,1983
서울특별시 강남구 개포동,집합,1**,-,제2종일반주거,제1종근린생활,25m이상,48.6, ,"260,129",null,201512,2, ,1982
서울특별시 강남구 개포동,집합,1**,선릉로,제2종일반주거,제2종근린생활,25m이상,30.24, ,"170,000",1,201512,3, ,1982
서울특별시 강남구 개포동,집합,1*,개포로,일반상업,판매,25m이상,26.49, ,"10,000",null,201512,15, ,1997
서울특별시 강남구 개포동,집합,1**,개포로,일반상업,제1종근린생활,25m미만,48.3, ,"24,380",null,201512,16, ,1984
서울특별시 강남구 개포동,집합,6**,언주로,제2종일반주거,제2종근린생활,25m이상,47.72, ,"41,000",null,201512,18, ,1984
서울특별시 강남구 개포동,일반,1***,개포로,제2종일반주거,제2종근린생활,25m미만,599.56,166.05,"200,000",null,201512,21, ,1989
서울특별시 강남구 개포동,일반,1***,개포로,제2종일반주거,제2종근린생활,25m미만,299.78,83.03,"100,000",null,201512,21, ,1989
서울특별시 강남구 개포동,일반,1***,개포로20길,제2종일반주거,제2종근린생활,12m미만,534.9,201.6,"208,000",null,201512,23, ,1989
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,13.1, ,"4,000",null,201512,30, ,1984
서울특별시 강남구 개포동,집합,1**,삼성로,일반상업,제1종근린생활,25m이상,107.89, ,"50,000",3,201601,7, ,1984
서울특별시 강남구 개포동,일반,1***,개포로15길,제2종일반주거,제2종근린생활,8m미만,1417.84,542.5,"508,400",null,201601,9, ,1988
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,판매,25m이상,15.28, ,"12,500",-1,201601,15, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m이상,42.55, ,"226,000",1,201601,15, ,1982
서울특별시 강남구 개포동,집합,6**,개포로,제3종일반주거,판매,25m이상,14.87, ,"12,500",-1,201601,15, ,1984
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m이상,24.53, ,"155,000",null,201601,20, ,1982
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m미만,130.35, ,"82,000",2,201601,22, ,1983
서울특별시 강남구 개포동,집합,1**,삼성로,제2종일반주거,제2종근린생활,25m이상,31.28, ,"84,300",2,201602,3, ,1982
서울특별시 강남구 개포동,집합,6**,개포로,제2종일반주거,제2종근린생활,25m이상,17.82, ,"70,000",null,201602,12, ,1982
